Typescript;1
Fastapi;1
Английский — B2 — Средне-продвинутый;2
SciPy;1
Внутренний контроль;1
Github;2
Хорошая обучаемость;1
SaaS;7
Big Data;7
DynamoDB;1
Threading;1
Leadership Development;1
Mathematical Analysis;2
Способность работать в команде;1
Планирование карьеры;1
Computer Vision;2
Amazon;1
Cucumber;1
Яндекс.Облако;1
Базы данных;12
VCS;1
Kafka;9
Machine Learning;8
Devops;1
React/Redux;1
Математическая статистика;3
финтех;1
Обеспечение жизнедеятельности офиса;1
Objective-C;1
Selenium IDE;2
Гарант;1
Business Intelligence Systems;1
GitLab;1
Фреймворки;1
Язык C;1
Pyrus;1
Numpy;6
Huawei;1
yarn;1
проверка на ошибки перед сдачей работы;1
English C1;1
HTML;10
Data Integration. ETL.;1
Asana;1
Requests;1
Автоматизация тестирования;3
Dash;1
Асинхронное программирование;2
CMMI;1
Блокчейн;1
администрирование ОС Linux;1
Python;420
UDP;1
Системная интеграция;1
SOAP;4
Deep Learning;1
PyAPI;2
Тестирование пользовательского интерфейса;1
Vue.js;1
DevOps;2
Git;176
Citrix Systems;4
Ориентация на результат;2
Ansible;2
Vertica;1
Clickhouse;3
Gitlab;9
ОС Windows;1
Автоматизированное тестирование;2
«Django Framework», «SQL», «Vue»;1
Ответственность и пунктуальность;1
Sas;2
DDD;1
Bug Tracking Systems;1
SQLAlchemy;6
Заинтересованность;2
Django Rest Framework;5
Leadership Skills;1
Постановка задач разработчикам;1
PL/SQL;1
TDD;3
Open Vino;1
Flask;66
Maple;1
Портфельные риски;1
Паттерны проектирования;1
pytest;2
GrapgQL;1
Jira;3
Спорт;1
Работа с банками;1
REST;14
fastapi;1
jQuery;2
Базовые знания SQL;1
Оптимизация бизнес-процессов;1
PowerBI;1
HTML/CSS;1
XML;4
Pandas;8
Опыт работы с контейнерами;1
frontend;1
Kubernetes;16
